Symbol,Satoshi Rate
COTI/USD,
ALGO/USD,-0.025926886
MINA/USD,-0.094996833
BAT/USD,-0.150590151
T/USD,-0.058892815
ICP/USD,-0.038756931
GAL/USD,-0.306671359
OCEAN/USD,
ETC/USDC,
CTSI/USD,
BADGER/USD,
XRP/USDC,
BAND/USD,
MATIC/USDC,
BLUR/USD,-0.179856115
ENJ/USD,-0.717360115
FLR/USD,-0.049751244
OP/USD,-0.138109868
MANA/USD,0.021724962
KAVA/USD,-0.156494523
BIGTIME/USD,
HNT/USD,0.082533927
API3/USD,
FIL/USD,0.068119891
HFT/USD,-0.028264556
BCH/USD,-0.074891604
XLM/USD,-0.069209993
ARPA/USD,
AUCTION/USD,
SOL/USDC,
XTZ/USD,-0.184680327
ANKR/USD,0.238284353
ADA/USD,-0.129366106
GMT/USD,-0.253164557
SUI/USD,-0.125303469
ENS/USD,-0.322985825
ETH/USDC,
XCN/USD,
RAD/USD,
LQTY/USD,
DOT/USD,-0.079787234
STX/USD,-0.05271352
SEI/USD,0
COMP/USD,-0.21093338
LRC/USD,-0.038865138
LTC/USD,-0.114220445
RARE/USD,
REQ/USD,
IOTX/USD,
AAVE/USD,-0.116988679
MKR/USD,0.125313283
OP/USDC,
MDT/USD,
APE/USD,-0.055256251
BLZ/USD,
GODS/USD,0.228969324
INJ/USD,-0.362816912
RLC/USD,
CHZ/USD,-0.094073377
ZEN/USD,-0.075285744
EOS/USD,-0.064674686
ATOM/USD,-0.071890726
AERGO/USD,
ROSE/USD,-0.228755401
QNT/USD,-0.110450297
NEAR/USD,-0.006153467
FORTH/USD,
CVX/USD,
SKL/USD,
DOGE/USD,-0.110673881
IDEX/USD,
ETH/USD,-0.101309622
KSM/USD,-0.059545076
UNFI/USD,
HBAR/USD,-0.074784993
APT/USD,-0.106382979
JASMY/USD,-0.055218112
ETC/USD,0.111069974
AXL/USD,-0.285335779
1INCH/USD,-0.196979645
AGLD/USD,0.014442519
BTC/USD,-0.05243716
NMR/USD,
BOBA/USD,-0.361734895
MASK/USD,-0.214214051
AUDIO/USD,
CRO/USD,
CRV/USD,-0.091091273
AXS/USD,-0.04313798
BICO/USD,-0.363636364
PERP/USD,-0.072716696
RPL/USD,-0.00404959
STORJ/USD,
IMX/USD,-0.065427581
ILV/USD,
LIT/USD,
MATIC/USD,-0.046975925
BTC/USDC,
AVAX/USD,-0.025377101
CELO/USD,0.106354693
HIGH/USD,
MAGIC/USD,-0.173160173
MTL/USD,
QI/USD,
YFI/USD,-0.218089526
ARB/USD,-0.046882325
UMA/USD,0.404978269
SAND/USD,0.015630495
ACH/USD,-0.107946952
LPT/USD,
USDC/USD,
JTO/USD,-0.041760891
SUSHI/USD,-0.045372051
VET/USD,
FLOW/USD,-0.213573802
EGLD/USD,-0.125335721
SUPER/USD,
SNX/USD,0.08168784
SOL/USD,0.020504408
SPELL/USD,0.017940438
RNDR/USD,0.172341759
XRP/USD,-0.017361111
BAL/USD,
SNT/USD,
ZRX/USD,-0.057253041
ALICE/USD,
ZEC/USD,
NKN/USD,
GLM/USD,
TRU/USD,
OXT/USD,
GTC/USD,
CVC/USD,
KNC/USD,
METIS/USD,
C98/USD,0
TIA/USD,0.01239119
GRT/USD,-0.125141529
DAR/USD,
CELR/USD,
BNT/USD,0.025568908
DASH/USD,
TRB/USD,
UNI/USD,-0.042305504
OGN/USD,
FET/USD,-0.072579475
POWR/USD,
LINK/USD,-0.159053861
LDO/USD,-0.13160256
YFI/USD,0.043745697
ENJ/USD,-0.270161522
AERGO/USD,
ZEC/USD,
AUCTION/USD,
MASK/USD,-0.132615226
UNFI/USD,
CVX/USD,
JASMY/USD,-0.128511107
QI/USD,
TRB/USD,
MTL/USD,
GTC/USD,
BAND/USD,
SNX/USD,0
MDT/USD,
CHZ/USD,-0.093984962
BAT/USD,-0.130028444
REQ/USD,
NEAR/USD,-0.165573067
AUDIO/USD,
SUSHI/USD,0.154264973
SPELL/USD,0.16146394
RARE/USD,
XRP/USDC,
VET/USD,
AGLD/USD,-0.380829202
INJ/USD,-0.29130967
KNC/USD,
CRV/USD,0.072912869
FET/USD,0.02900232
XLM/USD,-0.072610605
MATIC/USD,-0.082198215
1INCH/USD,-0.152605189
LQTY/USD,
COTI/USD,
UNI/USD,-0.043827611
ARB/USD,-0.084309133
JTO/USD,0
CELO/USD,-0.159532039
IDEX/USD,
LPT/USD,
BIGTIME/USD,
BNT/USD,-0.089388328
ZEN/USD,0.018247343
XTZ/USD,0.193525686
SAND/USD,0.019519813
UMA/USD,0.207427894
LINK/USD,-0.070740528
C98/USD,-0.077851304
ARPA/USD,
LTC/USD,-0.071357214
BADGER/USD,
SNT/USD,
DOGE/USD,-0.086047941
TRU/USD,
HBAR/USD,-0.099925056
XCN/USD,
EGLD/USD,-0.05399568
ETH/USD,-0.056573003
NKN/USD,
ANKR/USD,0.039651071
AXS/USD,-0.027119647
HNT/USD,0.393647346
GODS/USD,0.228969324
IMX/USD,0.005340869
MAGIC/USD,0.133542812
LRC/USD,-0.23255814
ADA/USD,0
FORTH/USD,
ALICE/USD,
MATIC/USDC,
LIT/USD,
FLR/USD,-0.04952947
CRO/USD,
T/USD,-0.176626435
OP/USDC,
MANA/USD,-0.086786722
OXT/USD,
QNT/USD,0.042408821
ILV/USD,
HFT/USD,-0.056369786
ZRX/USD,0.022202487
OCEAN/USD,
EOS/USD,-0.012938284
XRP/USD,-0.034716195
OGN/USD,
DOT/USD,-0.053149083
LDO/USD,-0.167184141
BTC/USD,-0.02718959
GLM/USD,
ENS/USD,0.027034334
BOBA/USD,0.222068514
IOTX/USD,
GRT/USD,-0.053734551
MKR/USD,-0.105089326
BICO/USD,-0.518672199
RPL/USD,-0.074382024
MINA/USD,0.055542331
FIL/USD,-0.03399626
OP/USD,-0.161349676
TIA/USD,0.064815535
USDC/USD,
GAL/USD,0.099601594
STX/USD,-0.052241787
SUPER/USD,
RAD/USD,
HIGH/USD,
METIS/USD,
GMT/USD,0
AVAX/USD,-0.063123907
ETC/USDC,
ATOM/USD,-0.060163801
BTC/USDC,
ETH/USDC,
SOL/USD,-0.030867373
CVC/USD,
STORJ/USD,
ETC/USD,-0.111193477
PERP/USD,-0.065526028
ROSE/USD,-0.110262935
AAVE/USD,-0.037383463
SUI/USD,-0.281337918
AXL/USD,-0.243952023
FLOW/USD,-0.09503445
RNDR/USD,-0.020856145
CTSI/USD,
COMP/USD,-0.19288094
CELR/USD,
BAL/USD,
ALGO/USD,-0.031062332
SEI/USD,0.049844237
SOL/USDC,
ICP/USD,-0.055432373
NMR/USD,
DAR/USD,
BLZ/USD,
RLC/USD,
POWR/USD,
SKL/USD,
BCH/USD,-0.102483248
DASH/USD,
APT/USD,-0.137191717
APE/USD,-0.034542314
KSM/USD,0.128968396
BLUR/USD,-0.01594642
KAVA/USD,-0.182267934
ACH/USD,-0.102806621
API3/USD,
STORJ/USD,
BOBA/USD,0.14186461
FLR/USD,-0.19811788
MANA/USD,0.043421624
BTC/USD,-0.030220807
HBAR/USD,-0.0874672
FET/USD,-0.087336245
METIS/USD,
IMX/USD,-0.085288886
AUCTION/USD,
LDO/USD,-0.208830549
ETC/USDC,
NKN/USD,
GRT/USD,-0.053766653
GAL/USD,-0.084927811
LPT/USD,
EGLD/USD,-0.144560896
BLUR/USD,-0.151876763
GMT/USD,0.031625553
ENJ/USD,-0.525954722
LTC/USD,-0.114302043
STX/USD,-0.006771273
MASK/USD,-0.067888663
MATIC/USD,0.047080979
YFI/USD,-0.256134224
ZEN/USD,-0.347756684
COTI/USD,
MTL/USD,
EOS/USD,-0.064817215
HNT/USD,0.224169554
VET/USD,
FLOW/USD,-0.30820294
QI/USD,
XTZ/USD,-0.228551336
FORTH/USD,
SPELL/USD,0.143523502
ANKR/USD,-0.119000397
LQTY/USD,
KNC/USD,
XRP/USDC,
LIT/USD,
APT/USD,-0.15238217
AXL/USD,-0.800973335
SNX/USD,0.002808279
AGLD/USD,-0.007207727
MDT/USD,
BIGTIME/USD,
AAVE/USD,-0.029923146
ACH/USD,-0.416366814
AERGO/USD,
ARPA/USD,
OP/USD,0.028433324
ENS/USD,-0.108528534
LINK/USD,-0.111780619
SNT/USD,
API3/USD,
APE/USD,-0.034590107
ATOM/USD,-0.022320779
OXT/USD,
BLZ/USD,
DAR/USD,
PERP/USD,-0.189297415
SOL/USD,-0.051440329
MKR/USD,-0.190662063
FIL/USD,0.017056115
MINA/USD,-0.095147479
OGN/USD,
RNDR/USD,-0.138420956
INJ/USD,-0.264388357
ICP/USD,-0.074553472
HIGH/USD,
DASH/USD,
AVAX/USD,-0.163876662
JASMY/USD,-0.036683786
TRU/USD,
SUSHI/USD,-0.072661217
ETH/USDC,
DOT/USD,-0.07980846
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,-0.046900649
ALGO/USD,-0.041541178
XRP/USD,-0.052137643
XLM/USD,-0.083678472
USDC/USD,
BADGER/USD,
MAGIC/USD,0.094637224
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,-0.084530854
RPL/USD,-0.233697181
MATIC/USDC,
BAND/USD,
COMP/USD,-0.280554094
CRO/USD,
SOL/USDC,
KSM/USD,0.027394976
POWR/USD,
ETH/USD,-0.078087481
BICO/USD,-0.518672199
AUDIO/USD,
AXS/USD,0.001237639
ARB/USD,-0.037700283
TIA/USD,-0.090591433
REQ/USD,
CHZ/USD,-0.37593985
ROSE/USD,-0.008486803
RLC/USD,
1INCH/USD,-0.043649062
CELR/USD,
JTO/USD,0.225046384
LRC/USD,-0.077700078
T/USD,-0.088521688
C98/USD,-0.232378002
UMA/USD,0.059265113
CTSI/USD,
CRV/USD,-0.145905526
GODS/USD,0.228969324
BTC/USDC,
NMR/USD,
DOGE/USD,-0.024627509
NEAR/USD,-0.163112055
GTC/USD,
SEI/USD,0.012484395
SUPER/USD,
ETC/USD,-0.11082379
QNT/USD,0
BAT/USD,-0.33346889
BCH/USD,-0.141899882
SAND/USD,0.031217076
XCN/USD,
CELO/USD,0.053219798
KAVA/USD,0.130463144
CVX/USD,
BNT/USD,-0.05109862
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,-0.002669039
UNI/USD,0.005845731
OP/USDC,
ADA/USD,-0.055422132
ILV/USD,
STORJ/USD,
BOBA/USD,-0.003632269
FLR/USD,-0.44576523
MANA/USD,-0.021724962
BTC/USD,-0.031919654
HBAR/USD,-0.162683018
FET/USD,-0.014594279
METIS/USD,
IMX/USD,-0.112310171
AUCTION/USD,
LDO/USD,-0.087142042
ETC/USDC,
NKN/USD,
GRT/USD,-0.149566258
GAL/USD,-0.175835217
LPT/USD,
EGLD/USD,0.09009009
BLUR/USD,0.005782352
GMT/USD,-0.031635558
ENJ/USD,-0.525954722
LTC/USD,-0.15687393
STX/USD,-0.100034982
MASK/USD,0.035338571
MATIC/USD,-0.023554352
YFI/USD,-0.145294749
ZEN/USD,-0.12956784
COTI/USD,
MTL/USD,
EOS/USD,-0.0129887
HNT/USD,0.219378926
VET/USD,
FLOW/USD,-0.118764846
QI/USD,
XTZ/USD,-0.008833142
FORTH/USD,
SPELL/USD,-0.269106566
ANKR/USD,-0.079396586
LQTY/USD,
KNC/USD,
XRP/USDC,
LIT/USD,
APT/USD,-0.106951872
AXL/USD,-0.244299674
SNX/USD,-0.20872116
AGLD/USD,0.06443299
MDT/USD,
BIGTIME/USD,
AAVE/USD,0.010616026
ACH/USD,-0.293406084
AERGO/USD,
ARPA/USD,
OP/USD,-0.059912699
ENS/USD,-0.14570622
LINK/USD,-0.111436872
SNT/USD,
API3/USD,
APE/USD,-0.124155056
ATOM/USD,-0.052440422
OXT/USD,
BLZ/USD,
DAR/USD,
PERP/USD,-0.080256822
SOL/USD,-0.020618557
MKR/USD,-0.070914852
FIL/USD,-0.085426277
MINA/USD,-0.039635355
OGN/USD,
RNDR/USD,-0.065286084
INJ/USD,-0.237430851
ICP/USD,-0.027770064
HIGH/USD,
DASH/USD,
AVAX/USD,-0.073417736
JASMY/USD,-0.110172604
TRU/USD,
SUSHI/USD,0.063578565
ETH/USDC,
DOT/USD,0
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,-0.054858934
ALGO/USD,-0.067592159
XRP/USD,-0.052210233
XLM/USD,-0.011842328
USDC/USD,
BADGER/USD,
MAGIC/USD,0.007973846
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,-0.056609114
RPL/USD,-0.172761301
MATIC/USDC,
BAND/USD,
COMP/USD,-0.05278902
CRO/USD,
SOL/USDC,
KSM/USD,0.030297753
POWR/USD,
ETH/USD,-0.052881866
BICO/USD,-0.103761349
AUDIO/USD,
AXS/USD,0.113171411
ARB/USD,-0.023674242
TIA/USD,-0.04075337
REQ/USD,
CHZ/USD,-0.09478673
ROSE/USD,-0.186963542
RLC/USD,
1INCH/USD,0.0436872
CELR/USD,
JTO/USD,-0.113327377
LRC/USD,-0.077821012
T/USD,-0.148016578
C98/USD,-0.077669903
UMA/USD,-0.039471087
CTSI/USD,
CRV/USD,-0.036576445
GODS/USD,0.228969324
BTC/USDC,
NMR/USD,
DOGE/USD,-0.036964022
NEAR/USD,-0.033970538
GTC/USD,
SEI/USD,-0.099490113
SUPER/USD,
ETC/USD,-0.110987791
QNT/USD,-0.110638298
BAT/USD,-0.236445169
BCH/USD,-0.063191153
SAND/USD,-0.042958682
XCN/USD,
CELO/USD,-0.079936051
KAVA/USD,0.248171369
CVX/USD,
BNT/USD,0.333418825
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,-0.274236585
UNI/USD,0.027801759
OP/USDC,
ADA/USD,-0.073896176
ILV/USD,
STORJ/USD,
BOBA/USD,-0.152660657
FLR/USD,0.099453008
MANA/USD,-0.172786177
BTC/USD,-0.018953718
HBAR/USD,0.100087577
FET/USD,-0.058173357
METIS/USD,
IMX/USD,0.099948807
AUCTION/USD,
LDO/USD,-0.024097837
ETC/USDC,
NKN/USD,
GRT/USD,-0.119331742
GAL/USD,-0.085655263
LPT/USD,
EGLD/USD,-0.089734386
BLUR/USD,0.09697075
GMT/USD,-0.126063662
ENJ/USD,-0.525954722
LTC/USD,-0.071316503
STX/USD,0.031828031
MASK/USD,-0.268299954
MATIC/USD,-0.023499001
YFI/USD,-0.065345654
ZEN/USD,-0.716980702
COTI/USD,
MTL/USD,
EOS/USD,-0.064808814
HNT/USD,0.152198728
VET/USD,
FLOW/USD,-0.165211234
QI/USD,
XTZ/USD,0.256161117
FORTH/USD,
SPELL/USD,-0.071761751
ANKR/USD,0.039651071
LQTY/USD,
KNC/USD,
XRP/USDC,
LIT/USD,
APT/USD,-0.139910927
AXL/USD,-0.081632653
SNX/USD,-0.180109191
AGLD/USD,-0.028661508
MDT/USD,
BIGTIME/USD,
AAVE/USD,0.005441304
ACH/USD,-0.072064652
AERGO/USD,
ARPA/USD,
OP/USD,-0.094116305
ENS/USD,0.022753129
LINK/USD,-0.10409967
SNT/USD,
API3/USD,
APE/USD,0.0275558
ATOM/USD,0.099905914
OXT/USD,
BLZ/USD,
DAR/USD,
PERP/USD,-0.167589624
SOL/USD,-0.061626952
MKR/USD,0.004024752
FIL/USD,0
MINA/USD,-0.110987791
OGN/USD,
RNDR/USD,-0.116661914
INJ/USD,-0.190743215
ICP/USD,0.014279821
HIGH/USD,
DASH/USD,
AVAX/USD,-0.056038106
JASMY/USD,-0.018345258
TRU/USD,
SUSHI/USD,-0.14505893
ETH/USDC,
DOT/USD,-0.106425436
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,0.039323634
ALGO/USD,-0.03111065
XRP/USD,-0.034782609
XLM/USD,0.01182832
USDC/USD,
BADGER/USD,
MAGIC/USD,0.031821798
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,-0.140370578
RPL/USD,-0.172761301
MATIC/USDC,
BAND/USD,
COMP/USD,-0.087581012
CRO/USD,
SOL/USDC,
KSM/USD,0.531284219
POWR/USD,
ETH/USD,-0.046533635
BICO/USD,-0.231958763
AUDIO/USD,
AXS/USD,-0.119022786
ARB/USD,-0.075614367
TIA/USD,-0.026927379
REQ/USD,
CHZ/USD,0
ROSE/USD,-0.263023927
RLC/USD,
1INCH/USD,0.151416829
CELR/USD,
JTO/USD,0.149915648
LRC/USD,0
T/USD,-0.265643447
C98/USD,-0.116459627
UMA/USD,-0.039471087
CTSI/USD,
CRV/USD,-0.073059361
GODS/USD,-0.555434206
BTC/USDC,
NMR/USD,
DOGE/USD,-0.024615385
NEAR/USD,-0.055490474
GTC/USD,
SEI/USD,0.025009379
SUPER/USD,
ETC/USD,-0.148203038
QNT/USD,-0.110262935
BAT/USD,0.028536486
BCH/USD,-0.078864353
SAND/USD,-0.134087332
XCN/USD,
CELO/USD,0.159829515
KAVA/USD,-0.234375
CVX/USD,
BNT/USD,0.230591852
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,-0.244661922
UNI/USD,-0.103754147
OP/USDC,
ADA/USD,-0.09237022
ILV/USD,
STORJ/USD,
BOBA/USD,-0.06543551
FLR/USD,-0.049800797
MANA/USD,-0.172562554
BTC/USD,-0.032135328
HBAR/USD,-0.087412587
FET/USD,-0.159559037
METIS/USD,
IMX/USD,-0.028734373
AUCTION/USD,
LDO/USD,-0.078322689
ETC/USDC,
NKN/USD,
GRT/USD,-0.149031297
GAL/USD,0.020155195
LPT/USD,
EGLD/USD,-0.269106566
BLUR/USD,0.033219232
GMT/USD,-0.031486146
ENJ/USD,-0.525954722
LTC/USD,-0.099587424
STX/USD,-0.067179675
MASK/USD,-0.305298138
MATIC/USD,-0.082149982
YFI/USD,0.157015339
ZEN/USD,-0.132850795
COTI/USD,
MTL/USD,
EOS/USD,-0.116580311
HNT/USD,-0.111900557
VET/USD,
FLOW/USD,-0.141309468
QI/USD,
XTZ/USD,-0.09699321
FORTH/USD,
SPELL/USD,-0.377318002
ANKR/USD,0.079207921
LQTY/USD,
KNC/USD,
XRP/USDC,
LIT/USD,
APT/USD,0.058607278
AXL/USD,-0.688468158
SNX/USD,-0.182815356
AGLD/USD,-0.07840901
MDT/USD,
BIGTIME/USD,
AAVE/USD,-0.043533885
ACH/USD,0.247078808
AERGO/USD,
ARPA/USD,
OP/USD,-0.048368282
ENS/USD,-0.018178513
LINK/USD,-0.078860695
SNT/USD,
API3/USD,
APE/USD,-0.123643358
ATOM/USD,-0.017437129
OXT/USD,
BLZ/USD,
DAR/USD,
PERP/USD,-0.007269555
SOL/USD,-0.06143135
MKR/USD,-0.081954849
FIL/USD,-0.034083163
MINA/USD,-0.094996833
OGN/USD,
RNDR/USD,-0.069966313
INJ/USD,-0.135965575
ICP/USD,-0.041174421
HIGH/USD,
DASH/USD,
AVAX/USD,-0.135314971
JASMY/USD,-0.018311665
TRU/USD,
SUSHI/USD,0.009049774
ETH/USDC,
DOT/USD,-0.026627613
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,-0.14959452
ALGO/USD,-0.067416896
XRP/USD,-0.052173913
XLM/USD,-0.136766568
USDC/USD,
BADGER/USD,
MAGIC/USD,0.206825233
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,0.056433409
RPL/USD,-0.172761301
MATIC/USDC,
BAND/USD,
COMP/USD,-0.017516202
CRO/USD,
SOL/USDC,
KSM/USD,0.084016462
POWR/USD,
ETH/USD,-0.070760065
BICO/USD,-0.025813113
AUDIO/USD,
AXS/USD,0.030797659
ARB/USD,-0.108644308
TIA/USD,-0.120262088
REQ/USD,
CHZ/USD,0.188323917
ROSE/USD,0.008473858
RLC/USD,
1INCH/USD,-0.173235167
CELR/USD,
JTO/USD,0.068799716
LRC/USD,-0.116189001
T/USD,-0.441956394
C98/USD,-0.232648313
UMA/USD,-0.039471087
CTSI/USD,
CRV/USD,0
GODS/USD,0.33076419
BTC/USDC,
NMR/USD,
DOGE/USD,-0.049261084
NEAR/USD,-0.157160026
GTC/USD,
SEI/USD,-0.012520346
SUPER/USD,
ETC/USD,-0.074321813
QNT/USD,-0.110169492
BAT/USD,0.21597392
BCH/USD,-0.094674556
SAND/USD,-0.019474197
XCN/USD,
CELO/USD,0.173171706
KAVA/USD,-0.052130848
CVX/USD,
BNT/USD,-0.14039566
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,-0.043169722
UNI/USD,0.023400708
OP/USDC,
