Symbol,Satoshi Rate
ADA/USD,-0.036900369
ILV/USD,
STORJ/USD,
BOBA/USD,0.369030655
FLR/USD,-0.199203187
MANA/USD,0.08650519
BTC/USD,0.002474602
HBAR/USD,-0.025006252
FET/USD,-0.043465662
METIS/USD,
IMX/USD,-0.071792417
AUCTION/USD,
LDO/USD,-0.150285543
ETC/USDC,
NKN/USD,
GRT/USD,-0.011910434
GAL/USD,0.035241404
LPT/USD,
EGLD/USD,0.053937433
BLUR/USD,-0.00718236
GMT/USD,-0.063051702
ENJ/USD,-0.282865225
LTC/USD,-0.07115412
STX/USD,-0.073793537
MASK/USD,-0.056724562
MATIC/USD,-0.047003525
YFI/USD,-0.062634918
ZEN/USD,-0.110987791
COTI/USD,
MTL/USD,
EOS/USD,-0.051800052
HNT/USD,0.071556834
VET/USD,
FLOW/USD,-0.129548934
QI/USD,
XTZ/USD,-0.395256917
FORTH/USD,
SPELL/USD,-0.305788523
ANKR/USD,-0.197941409
LQTY/USD,
KNC/USD,
XRP/USDC,
LIT/USD,
APT/USD,-0.182359152
AXL/USD,-0.506380393
SNX/USD,-0.039432177
AGLD/USD,-0.285938952
MDT/USD,
BIGTIME/USD,
AAVE/USD,0.043911495
ACH/USD,-0.046227336
AERGO/USD,
ARPA/USD,
OP/USD,0.08839716
ENS/USD,0.013607294
LINK/USD,-0.034551036
SNT/USD,
API3/USD,
APE/USD,-0.137931034
ATOM/USD,-0.047545581
OXT/USD,
BLZ/USD,
DAR/USD,
PERP/USD,-0.058194515
SOL/USD,-0.010288066
MKR/USD,-0.008565526
FIL/USD,-0.034094783
MINA/USD,0.047528517
OGN/USD,
RNDR/USD,0.176922076
INJ/USD,-0.12788191
ICP/USD,-0.071947565
HIGH/USD,
DASH/USD,
AVAX/USD,-0.052175962
JASMY/USD,0.036643459
TRU/USD,
SUSHI/USD,0.054397099
ETH/USDC,
DOT/USD,0
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,-0.070726916
ALGO/USD,0.109039929
XRP/USD,-0.052146706
XLM/USD,-0.042247571
USDC/USD,
BADGER/USD,
MAGIC/USD,0
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,0.056306306
RPL/USD,-0.172761301
MATIC/USDC,
BAND/USD,
COMP/USD,0.070224719
CRO/USD,
SOL/USDC,
KSM/USD,0.107588939
POWR/USD,
ETH/USD,-0.036340901
BICO/USD,0.232919255
AUDIO/USD,
AXS/USD,-0.197141449
ARB/USD,0.014150943
TIA/USD,0.125162946
REQ/USD,
CHZ/USD,0
ROSE/USD,-0.059322034
RLC/USD,
1INCH/USD,-0.151613602
CELR/USD,
JTO/USD,-0.037041896
LRC/USD,-0.038744673
T/USD,0
C98/USD,-0.155339806
UMA/USD,-0.039471087
CTSI/USD,
CRV/USD,-0.091257529
GODS/USD,0.33076419
BTC/USDC,
NMR/USD,
DOGE/USD,-0.086090272
NEAR/USD,0.024705083
GTC/USD,
SEI/USD,-0.062057838
SUPER/USD,
ETC/USD,0
QNT/USD,-0.025445293
BAT/USD,0.101791531
BCH/USD,-0.059078377
SAND/USD,-0.075891728
XCN/USD,
CELO/USD,0.346944222
KAVA/USD,0
CVX/USD,
BNT/USD,-0.140145241
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,-0.091821671
UNI/USD,-0.121268793
OP/USDC,
ADA/USD,-0.055299539
ILV/USD,
STORJ/USD,
BOBA/USD,0.15312819
FLR/USD,0.099552016
MANA/USD,-0.086281277
BTC/USD,-0.005745452
HBAR/USD,-0.087303567
FET/USD,0.130151844
METIS/USD,
IMX/USD,-0.188799208
AUCTION/USD,
LDO/USD,-0.110622776
ETC/USDC,
NKN/USD,
GRT/USD,-0.041575102
GAL/USD,-0.095147479
LPT/USD,
EGLD/USD,0.107739271
BLUR/USD,-0.178126113
GMT/USD,-0.062912866
ENJ/USD,0.002857224
LTC/USD,-0.07115412
STX/USD,-0.170092646
MASK/USD,-0.334015731
MATIC/USD,-0.023471424
YFI/USD,-0.135248896
ZEN/USD,0.096092249
COTI/USD,
MTL/USD,
EOS/USD,-0.03878976
HNT/USD,-0.092843015
VET/USD,
FLOW/USD,0.187485353
QI/USD,
XTZ/USD,0.316511342
FORTH/USD,
SPELL/USD,-0.037552977
ANKR/USD,0.079176564
LQTY/USD,
KNC/USD,
XRP/USDC,
LIT/USD,
APT/USD,-0.101915156
AXL/USD,-0.617533914
SNX/USD,-0.098025487
AGLD/USD,-0.335906232
MDT/USD,
BIGTIME/USD,
AAVE/USD,-0.00284784
ACH/USD,0.132808908
AERGO/USD,
ARPA/USD,
OP/USD,0.014186409
ENS/USD,-0.13982229
LINK/USD,-0.065632893
SNT/USD,
API3/USD,
APE/USD,-0.048285852
ATOM/USD,-0.047517916
OXT/USD,
BLZ/USD,
DAR/USD,
PERP/USD,-0.07264802
SOL/USD,0
MKR/USD,0.113624937
FIL/USD,-0.085193389
MINA/USD,-0.007910767
OGN/USD,
RNDR/USD,-0.056962353
INJ/USD,-0.135917639
ICP/USD,0.142653352
HIGH/USD,
DASH/USD,
AVAX/USD,0.100044154
JASMY/USD,-0.036483035
TRU/USD,
SUSHI/USD,-0.063348416
ETH/USDC,
DOT/USD,-0.092875149
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,-0.086112416
ALGO/USD,0.041403581
XRP/USD,-0.052038161
XLM/USD,-0.030384875
USDC/USD,
BADGER/USD,
MAGIC/USD,-0.086963396
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,-0.056038106
RPL/USD,-0.296184047
MATIC/USDC,
BAND/USD,
COMP/USD,0.140350877
CRO/USD,
SOL/USDC,
KSM/USD,-0.367043939
POWR/USD,
ETH/USD,-0.040965059
BICO/USD,-0.206238721
AUDIO/USD,
AXS/USD,-0.247861586
ARB/USD,0.018832392
TIA/USD,-0.091644791
REQ/USD,
CHZ/USD,0.188679245
ROSE/USD,-0.084438065
RLC/USD,
1INCH/USD,-0.237017884
CELR/USD,
JTO/USD,-0.162070793
LRC/USD,-0.077369439
T/USD,0.058927519
C98/USD,-0.116054159
UMA/USD,0.256562068
CTSI/USD,
CRV/USD,0.073006023
GODS/USD,-0.624083378
BTC/USDC,
NMR/USD,
DOGE/USD,-0.073746313
NEAR/USD,-0.175023797
GTC/USD,
SEI/USD,-0.024943876
SUPER/USD,
ETC/USD,-0.037257824
QNT/USD,0.118644068
BAT/USD,-0.06090134
BCH/USD,-0.031520883
SAND/USD,0.007764578
XCN/USD,
CELO/USD,0.14629605
KAVA/USD,-0.350649351
CVX/USD,
BNT/USD,-0.127177922
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,-0.246090292
UNI/USD,-0.016055816
OP/USDC,
ADA/USD,-0.055177488
ILV/USD,
STORJ/USD,
BOBA/USD,-0.25845437
FLR/USD,-0.299102692
MANA/USD,-0.064738886
BTC/USD,-0.008817685
HBAR/USD,-0.087368947
FET/USD,-0.014490654
METIS/USD,
IMX/USD,-0.167944505
AUCTION/USD,
LDO/USD,-0.030138638
ETC/USDC,
NKN/USD,
GRT/USD,-0.035786711
GAL/USD,-0.674157303
LPT/USD,
EGLD/USD,-0.035925992
BLUR/USD,0.04404723
GMT/USD,0.063131313
ENJ/USD,0.288579674
LTC/USD,-0.05702067
STX/USD,-0.008501129
MASK/USD,0.194447445
MATIC/USD,-0.058802775
YFI/USD,-0.071555717
ZEN/USD,0.306428104
COTI/USD,
MTL/USD,
EOS/USD,-0.025926886
HNT/USD,0.08745375
VET/USD,
FLOW/USD,-0.09391876
QI/USD,
XTZ/USD,0.20287554
FORTH/USD,
SPELL/USD,-0.241610738
ANKR/USD,0.197941409
LQTY/USD,
KNC/USD,
XRP/USDC,
LIT/USD,
APT/USD,-0.05647129
AXL/USD,-0.304568528
SNX/USD,-0.090034326
AGLD/USD,0.388712928
MDT/USD,
BIGTIME/USD,
AAVE/USD,0.001716768
ACH/USD,0.056068097
AERGO/USD,
ARPA/USD,
OP/USD,-0.025568908
ENS/USD,-0.090867787
LINK/USD,-0.059097338
SNT/USD,
API3/USD,
APE/USD,0.006916108
ATOM/USD,-0.03795288
OXT/USD,
BLZ/USD,
DAR/USD,
PERP/USD,-0.065411731
SOL/USD,-0.010285949
MKR/USD,-0.202614379
FIL/USD,0.068528354
MINA/USD,-0.245817144
OGN/USD,
RNDR/USD,-0.005179737
INJ/USD,-0.159820648
ICP/USD,0.05557761
HIGH/USD,
DASH/USD,
AVAX/USD,-0.049050522
JASMY/USD,-0.219699744
TRU/USD,
SUSHI/USD,0.345140781
ETH/USDC,
DOT/USD,0.080064051
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,-0.039481996
ALGO/USD,0.207900208
XRP/USD,-0.052182988
XLM/USD,-0.028776978
USDC/USD,
BADGER/USD,
MAGIC/USD,-0.159769931
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,-0.028074116
RPL/USD,0.371212339
MATIC/USDC,
BAND/USD,
COMP/USD,-0.035254715
CRO/USD,
SOL/USDC,
KSM/USD,-0.392930102
POWR/USD,
ETH/USD,-0.037994516
BICO/USD,0.388399793
AUDIO/USD,
AXS/USD,-0.027871018
ARB/USD,-0.018903592
TIA/USD,0.045775637
REQ/USD,
CHZ/USD,0.09469697
ROSE/USD,-0.354819633
RLC/USD,
1INCH/USD,-0.02168727
CELR/USD,
JTO/USD,0.07588025
LRC/USD,-0.077579519
T/USD,-0.265800354
C98/USD,0.27184466
UMA/USD,-0.049212598
CTSI/USD,
CRV/USD,0.329489292
GODS/USD,-0.624083378
BTC/USDC,
NMR/USD,
DOGE/USD,-0.03697769
NEAR/USD,-0.144940944
GTC/USD,
SEI/USD,-0.050703511
SUPER/USD,
ETC/USD,-0.03742515
QNT/USD,-0.076400679
BAT/USD,-0.06090134
BCH/USD,-0.086887836
SAND/USD,-0.025339649
XCN/USD,
CELO/USD,-0.199866755
KAVA/USD,-0.324844075
CVX/USD,
BNT/USD,0.02554931
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,-0.15770821
UNI/USD,-0.152082358
OP/USDC,
ADA/USD,-0.07384161
ILV/USD,
STORJ/USD,
BOBA/USD,0.203903292
FLR/USD,0.050150451
MANA/USD,-0.021574973
BTC/USD,-0.02579776
HBAR/USD,-0.087379853
FET/USD,0.014488554
METIS/USD,
IMX/USD,-0.024336822
AUCTION/USD,
LDO/USD,-0.11754423
ETC/USDC,
NKN/USD,
GRT/USD,0.029877502
GAL/USD,-0.005027399
LPT/USD,
EGLD/USD,-0.035971223
BLUR/USD,0.042826552
GMT/USD,0.031595577
ENJ/USD,0.597838584
LTC/USD,-0.071103527
STX/USD,-0.248441949
MASK/USD,-0.110688156
MATIC/USD,-0.058892815
YFI/USD,-0.069591448
ZEN/USD,0.061964978
COTI/USD,
MTL/USD,
EOS/USD,-0.077730276
HNT/USD,0.374703472
VET/USD,
FLOW/USD,-0.140646976
QI/USD,
XTZ/USD,0.123391504
FORTH/USD,
SPELL/USD,-0.241610738
ANKR/USD,0.039635355
LQTY/USD,
KNC/USD,
XRP/USDC,
LIT/USD,
APT/USD,-0.144023044
AXL/USD,-0.787322095
SNX/USD,-0.286984413
AGLD/USD,-0.085972202
MDT/USD,
BIGTIME/USD,
AAVE/USD,0.084040764
ACH/USD,0.152912993
AERGO/USD,
ARPA/USD,
OP/USD,-0.07111364
ENS/USD,0.036360331
LINK/USD,-0.042540746
SNT/USD,
API3/USD,
APE/USD,-0.013791201
ATOM/USD,-0.012664023
OXT/USD,
BLZ/USD,
DAR/USD,
PERP/USD,-0.029082449
SOL/USD,-0.041101521
MKR/USD,-0.098890618
FIL/USD,0.137056707
MINA/USD,0.175187132
OGN/USD,
RNDR/USD,-0.115633673
INJ/USD,-0.103817359
ICP/USD,-0.060328952
HIGH/USD,
DASH/USD,
AVAX/USD,-0.015115296
JASMY/USD,0.018351991
TRU/USD,
SUSHI/USD,-0.036330609
ETH/USDC,
DOT/USD,-0.053340445
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,-0.023736055
ALGO/USD,-0.046658717
XRP/USD,-0.052192067
XLM/USD,-0.022000338
USDC/USD,
BADGER/USD,
MAGIC/USD,-0.128153785
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,-0.083798883
RPL/USD,-0.024482625
MATIC/USDC,
BAND/USD,
COMP/USD,0.035198874
CRO/USD,
SOL/USDC,
KSM/USD,-0.392930102
POWR/USD,
ETH/USD,-0.021126926
BICO/USD,0.129132231
AUDIO/USD,
AXS/USD,0.080885637
ARB/USD,-0.023573786
TIA/USD,-0.017053118
REQ/USD,
CHZ/USD,-0.094339623
ROSE/USD,-0.126903553
RLC/USD,
1INCH/USD,-0.238043713
CELR/USD,
JTO/USD,0.040926897
LRC/USD,0.03875969
T/USD,-0.236756437
C98/USD,-0.03875969
UMA/USD,-0.246062992
CTSI/USD,
CRV/USD,-0.182615047
GODS/USD,-0.639685462
BTC/USDC,
NMR/USD,
DOGE/USD,-0.049261084
NEAR/USD,-0.030769231
GTC/USD,
SEI/USD,-0.02524615
SUPER/USD,
ETC/USD,-0.07459903
QNT/USD,-0.101608806
BAT/USD,0.06514658
BCH/USD,0.031558185
SAND/USD,-0.021362957
XCN/USD,
CELO/USD,-0.053376034
KAVA/USD,-0.324844075
CVX/USD,
BNT/USD,0
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,0.054912437
UNI/USD,-0.077606783
OP/USDC,
ADA/USD,0.018443379
ILV/USD,
STORJ/USD,
BOBA/USD,0.123474724
FLR/USD,0.049726504
MANA/USD,0.086467791
BTC/USD,-0.017645947
HBAR/USD,-0.07475704
FET/USD,-0.04341534
METIS/USD,
IMX/USD,-0.042282887
AUCTION/USD,
LDO/USD,-0.125854009
ETC/USDC,
NKN/USD,
GRT/USD,-0.149387511
GAL/USD,-0.060144346
LPT/USD,
EGLD/USD,-0.125967249
BLUR/USD,0.039833836
GMT/USD,-0.094517958
ENJ/USD,0.597838584
LTC/USD,-0.071204785
STX/USD,-0.053621241
MASK/USD,-0.573511283
MATIC/USD,-0.082488805
YFI/USD,0.051877261
ZEN/USD,-0.159332409
COTI/USD,
MTL/USD,
EOS/USD,0.038915553
HNT/USD,0.150306707
VET/USD,
FLOW/USD,0.152815329
QI/USD,
XTZ/USD,0.096839511
FORTH/USD,
SPELL/USD,-0.241610738
ANKR/USD,-0.158227848
LQTY/USD,
KNC/USD,
XRP/USDC,
LIT/USD,
APT/USD,-0.04906876
AXL/USD,-0.334923374
SNX/USD,-0.112771356
AGLD/USD,-0.028694405
MDT/USD,
BIGTIME/USD,
AAVE/USD,0.176652718
ACH/USD,-0.015323322
AERGO/USD,
ARPA/USD,
OP/USD,0.014247044
ENS/USD,-0.02268088
LINK/USD,-0.095748501
SNT/USD,
API3/USD,
APE/USD,-0.075752359
ATOM/USD,-0.050622067
OXT/USD,
BLZ/USD,
DAR/USD,
PERP/USD,-0.218420095
SOL/USD,-0.082346886
MKR/USD,-0.135528561
FIL/USD,-0.051413882
MINA/USD,0.047793532
OGN/USD,
RNDR/USD,-0.429935896
INJ/USD,-0.255518645
ICP/USD,0.051613928
HIGH/USD,
DASH/USD,
AVAX/USD,-0.095921378
JASMY/USD,0.128369705
TRU/USD,
SUSHI/USD,-0.118074478
ETH/USDC,
DOT/USD,0.02667378
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,-0.015886885
ALGO/USD,0
XRP/USD,-0.034849277
XLM/USD,-0.040616009
USDC/USD,
BADGER/USD,
MAGIC/USD,-0.183985281
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,0.028019053
RPL/USD,0.406696084
MATIC/USDC,
BAND/USD,
COMP/USD,-0.14059754
CRO/USD,
SOL/USDC,
KSM/USD,-0.21318309
POWR/USD,
ETH/USD,-0.052424229
BICO/USD,0.180598555
AUDIO/USD,
AXS/USD,-0.361220878
ARB/USD,0.042472865
TIA/USD,0.002070865
REQ/USD,
CHZ/USD,-0.094339623
ROSE/USD,-0.076271186
RLC/USD,
1INCH/USD,-0.151942696
CELR/USD,
JTO/USD,-0.129432881
LRC/USD,0.038774719
T/USD,-0.207407407
C98/USD,-0.03868472
UMA/USD,-0.049212598
CTSI/USD,
CRV/USD,-0.036569757
GODS/USD,-1.03285799
BTC/USDC,
NMR/USD,
DOGE/USD,-0.135518049
NEAR/USD,0.179056557
GTC/USD,
SEI/USD,0
SUPER/USD,
ETC/USD,-0.037467216
QNT/USD,0.050847458
BAT/USD,0.06514658
BCH/USD,-0.059194949
SAND/USD,-0.038910506
XCN/USD,
CELO/USD,0.106923283
KAVA/USD,-0.571725572
CVX/USD,
BNT/USD,-0.025523226
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,-0.215471251
UNI/USD,0.023369946
OP/USDC,
ADA/USD,-0.036873156
ILV/USD,
STORJ/USD,
BOBA/USD,0.058279304
FLR/USD,-0.049776008
MANA/USD,-0.108506944
BTC/USD,-0.014606849
HBAR/USD,-0.062437562
FET/USD,0
METIS/USD,
IMX/USD,-0.06531997
AUCTION/USD,
LDO/USD,0.024080429
ETC/USDC,
NKN/USD,
GRT/USD,-0.053927737
GAL/USD,-0.030051087
LPT/USD,
EGLD/USD,-0.035906643
BLUR/USD,-0.027042799
GMT/USD,-0.031715826
ENJ/USD,0.597838584
LTC/USD,-0.071438777
STX/USD,-0.150444991
MASK/USD,-0.089109713
MATIC/USD,-0.035452612
YFI/USD,-0.238559993
ZEN/USD,0.082827167
COTI/USD,
MTL/USD,
EOS/USD,-0.078064012
HNT/USD,0.188089471
VET/USD,
FLOW/USD,0.828402367
QI/USD,
XTZ/USD,-0.079232327
FORTH/USD,
SPELL/USD,-0.438478747
ANKR/USD,-0.356012658
LQTY/USD,
KNC/USD,
XRP/USDC,
LIT/USD,
APT/USD,-0.091992384
AXL/USD,-0.356125356
SNX/USD,-0.101907943
AGLD/USD,-0.199600798
MDT/USD,
BIGTIME/USD,
AAVE/USD,-0.015549084
ACH/USD,0.092255651
AERGO/USD,
ARPA/USD,
OP/USD,-0.031356005
ENS/USD,-0.316455696
LINK/USD,0.035953021
SNT/USD,
API3/USD,
APE/USD,-0.110223202
ATOM/USD,-0.053650685
OXT/USD,
BLZ/USD,
DAR/USD,
PERP/USD,-0.079704369
SOL/USD,-0.020631318
MKR/USD,-0.060483871
FIL/USD,-0.034441192
MINA/USD,-0.167051149
OGN/USD,
RNDR/USD,-0.174188852
INJ/USD,-0.026653039
ICP/USD,-0.057337623
HIGH/USD,
DASH/USD,
AVAX/USD,-0.077145287
JASMY/USD,-0.036751194
TRU/USD,
SUSHI/USD,-0.117967332
ETH/USDC,
DOT/USD,-0.053561864
TRB/USD,
BAL/USD,
CVC/USD,
SUI/USD,0.055564375
ALGO/USD,0.119499143
XRP/USD,-0.052337753
XLM/USD,-0.001695203
USDC/USD,
BADGER/USD,
MAGIC/USD,-0.071821882
OCEAN/USD,
IDEX/USD,
IOTX/USD,
RARE/USD,
ALICE/USD,
ZEC/USD,
UNFI/USD,
HFT/USD,-0.028121485
RPL/USD,0.344737364
MATIC/USDC,
BAND/USD,
COMP/USD,-0.053003534
CRO/USD,
SOL/USDC,
KSM/USD,-0.231264693
POWR/USD,
ETH/USD,-0.038042796
BICO/USD,0.56980057
AUDIO/USD,
AXS/USD,-0.02330745
ARB/USD,-0.042573321
TIA/USD,-0.047368448
REQ/USD,
CHZ/USD,-0.189753321
ROSE/USD,-0.551080967
RLC/USD,
1INCH/USD,0
CELR/USD,
JTO/USD,0.13447202
LRC/USD,-0.155279503
T/USD,-0.237741456
C98/USD,0.349786242
UMA/USD,-0.049212598
CTSI/USD,
CRV/USD,0.018338529
GODS/USD,-1.03285799
BTC/USDC,
NMR/USD,
DOGE/USD,-0.061766523
NEAR/USD,-0.148708098
GTC/USD,
SEI/USD,0.012771392
SUPER/USD,
ETC/USD,-0.15015015
QNT/USD,0
BAT/USD,-0.415140415
BCH/USD,-0.118483412
SAND/USD,0.111801973
XCN/USD,
CELO/USD,-0.227668408
KAVA/USD,0.130855797
CVX/USD,
BNT/USD,-0.179464171
RAD/USD,
GLM/USD,
SKL/USD,
ZRX/USD,-0.215471251
UNI/USD,0.011700696
OP/USDC,
ADA/USD,-0.018460402
ILV/USD,
